

"CSV Field ","resourceDetail Object Property "
,"@purpose=“Physical“]/longitude "
"HoursOfOperation ","/hours/note "
"Phone1Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[1] "
"Phone1Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[1] "
"Phone2Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[2] "
"Phone2Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[2] "
"Phone3Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[3] "
"Phone3Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[3] "
"Phone4Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[4] "
"Phone4Name ","(/contactDetails/contact[@type=“phoneNumber“]/label)[4] "
"Phone5Number ","(/contactDetails/contact[@type=“phoneNumber“]/number)[5] "
"Phone5Description ","(/contactDetails/contact[@type=“phoneNumber“]/label)[5] "
"PhoneFax ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“Fax“]/number "
"PhoneTTY ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“TTY“]/number "
"PhoneTollFree ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“TollFree“]/number "
"PhoneNumberHotline ",
"PhoneNumberBusinessLine ",
"PhoneNumberOutOfArea ",
"PhoneNumberAfterHours ","/contactDetails/contact[@type=“phoneNumber“ &amp;&amp; "
,"@purpose=“AfterHours“]/number "
"EmailAddressMain ","/contactDetails/contact[@type=“email“ &amp;&amp; "
,"@label=“Main“]/emailAddress "
"WebsiteAddress ","/contactDetails/contact[@type=“website“]/url "
"AgencyStatus ","/status "
"AgencyClassification ",
"AgencyDescription ","/description "
"SearchHints ",
"CoverageArea ","/coverageNote "
"CoverageAreaText ","/coverage "
"Eligibility ","/eligibility "
"SeniorWorkerName ","/contactDetails/contact[@type=“person“ &amp;&amp; @label=“Senior "
,"Worker“]/name "
"SeniorWorkerTitle ","/contactDetails/contact[@type=“person“ &amp;&amp; @label=“Senior "
,"Worker“]/title "
"SeniorWorkerEmailAddress ","/contactDetails/contact[@type=“person“ &amp;&amp; @label=“Senior "
,"Worker“]/contactMethods/[@type=“email“]/emailAddress "
"SeniorWorkerPhoneNumber ","/contactDetails/contact[@type=“person“ &amp;&amp; "
,"@label=“Main“]/contactMethods/[@type=“phoneNumber“]/num "
,"ber "
"SeniorWorkerIsPrivate ","/contactDetails[contact@type=“person“ &amp;&amp; "
,"contact@label=“Senior Worker“]/isPrivate "
"MainContactName ","/contactDetails/contact[@type=“person“ &amp;&amp; "
,"@label=“Main“]/name "
"MainContactTitle ","/contactDetails/contact[@type=“person“ &amp;&amp; @label=“Main“]/title "
"MainContactEmailAddress ","/contactDetails/contact[@type=“person“ &amp;&amp; "
,"@label=“Main“]/contactMethods/[@type=“email“]/emailAddress "
"MainContactPhoneNumber ","/contactDetails/contact[@type=“person“ &amp;&amp; "
,"@label=“Main“]/contactMethods/[@type=“phoneNumber“]/num "
,"ber "
"MainContactType ",
"MainContactIsPrivate ","/contactDetails[contact@type=“person“ &amp;&amp; "
,"contact@label=“Main“]/isPrivate "
"LicenseAccreditation ",
"IRSStatus ",
"FEIN ","/fein "
"YearIncorporated ",
"AnnualBudgetTotal ",
"LegalStatus ","/legalStatus "
"SourceOfFunds ","/sourceOfFunds "
"ExcludeFromWebsite ","/isConfidential "
"ExcludeFromDirectory ",
"DissabilitiesAccess ","/accessibility/disabled "
"PhysicalLocationDescription ",
"BusServiceAccess ","/accessibility/bus "
"PublicAccessTransportation ","/accessibility/public "
"FeeStructureSource ","/fees "
"ApplicationProcess ","/applicationProcess "
"ResourceInfo ",
"DocumentsRequired ","/requiredDocumentation "
"LanguagesOffered ","/languagesOffered "
"ServiceNotAlwaysAvailability ",
"CapacityType ","Combined into /capacity "
"ServiceCapacity ",
"TemporaryMessage ","/temporaryMessage "
"TemporaryMessageAppears ",
"TemporaryMessageExpires ",
"EnteredOn ",
"UpdatedOn ","/modified "
"MadeInactiveOn ",
"InternalNotes ","/notes/internal "
"InternalNotesForEditorsAndViewers ","/notes/editors "
"HighlightedResource ",
"LastVerifiedOn ",
"LastVerifiedByName ",
"LastVerifiedByTitle ","Computed and, if the verification frequency has lapsed, the "
"LastVerifiedByPhoneNumber ","verification date will be in /verificationExpired "
